platform,title,text,rating,author,date,url,scraped_at,metadata
social_media,Dothot.dog – Spotify music discovery platform,Dothot.dog – Spotify music discovery platform,,itzprintz,2020-08-15T09:50:26Z,https://news.ycombinator.com/item?id=24167557,2026-06-20T10:18:51.860214+00:00,"{'source': 'hackernews', 'points': 12}"
social_media,Spotify’s ‘Discovery Mode’ Being Probed by US House of Reps Judiciary Committee,Spotify’s ‘Discovery Mode’ Being Probed by US House of Reps Judiciary Committee,,adrian_mrd,2021-06-04T07:15:08Z,https://news.ycombinator.com/item?id=27391397,2026-06-20T10:18:51.860269+00:00,"{'source': 'hackernews', 'points': 2}"
social_media,Spotify Kills Discovery With Discovery Tab,Spotify Kills Discovery With Discovery Tab,,rpsubhub,2012-12-08T17:58:39Z,https://news.ycombinator.com/item?id=4892194,2026-06-20T10:18:51.860284+00:00,"{'source': 'hackernews', 'points': 1}"
social_media,"Forget Discovery, Spotify Should Focus on Social Curation","Forget Discovery, Spotify Should Focus on Social Curation",,regandersong,2013-08-07T10:07:59Z,https://news.ycombinator.com/item?id=6171800,2026-06-20T10:18:51.860296+00:00,"{'source': 'hackernews', 'points': 1}"
social_media,Spotify solves discovery by discovering music ain’t so social after all,Spotify solves discovery by discovering music ain’t so social after all,,admp,2012-12-07T17:04:07Z,https://news.ycombinator.com/item?id=4887871,2026-06-20T10:18:51.860310+00:00,"{'source': 'hackernews', 'points': 1}"
social_media,Ask HN: How do you discover music?,Spotify&#x27;s discovery algorithm? Radio? Soundcloud?,,yoshua921,2022-09-14T11:11:09Z,https://news.ycombinator.com/item?id=32835559,2026-06-20T10:18:51.860320+00:00,"{'source': 'hackernews', 'points': 73}"
social_media,An odd discovery on Spotify,An odd discovery on Spotify,,breathenow,2022-08-23T00:30:52Z,https://news.ycombinator.com/item?id=32559119,2026-06-20T10:18:51.860329+00:00,"{'source': 'hackernews', 'points': 1056}"
social_media,"The Paradox of Music Discovery, the Spotify Way","The Paradox of Music Discovery, the Spotify Way",,CrypticShift,2025-02-17T11:57:46Z,https://news.ycombinator.com/item?id=43077965,2026-06-20T10:18:51.860338+00:00,"{'source': 'hackernews', 'points': 3}"
social_media,Show HN: Fyne – Spotify for restaurant discovery,Show HN: Fyne – Spotify for restaurant discovery,,ramanshrivastav,2014-09-16T08:15:15Z,https://news.ycombinator.com/item?id=8323516,2026-06-20T10:18:51.860349+00:00,"{'source': 'hackernews', 'points': 2}"
social_media,"Show HN: Unheard.fm – No-repeat, user-controlled music discovery for Spotify","Hey HN,<p>My name is Max. After a sabbatical from the corporate world, I turned a passion project into a full web app: Unheard.FM.<p>What is it?<p>Unheard.FM is a music discovery web app for Spotify that selects tracks based on your direct preferences instead of listening habits, and provides fresh results by excluding your &quot;known&quot; tracks. (No paid sponsors here.)<p>Why did I build this? A few reasons...<p>1. I was getting tired of getting too similar or repeat
recommendations from Spotify and thus wasn&#x27;t getting out of my music &quot;comfort zone&quot;
enough.<p>2. I was looking for ways to source more tracks of specific types of music and
didn&#x27;t just want &quot;popular&quot; music.<p>3. I listen to a lot of music and didn&#x27;t want to wait for new curated
playlists to drop.<p>How is it different from other music discovery apps?<p>* Your discovery model is completely transparent and controllable by you<p>* Not based on Spotify&#x27;s recommendation API or sponsorships. The engine simply:<p><pre><code>  - Selects random sets of tracks by provided seeds (years, genres, desired popularity distribution)
  - Filters by provided excludes (artists, genres, track attributes, etc)
</code></pre>
* Results are always fresh since your liked, playlist, top, and recently played tracks are filtered automatically<p>* Local-first: Known tracks are cached on your device; no listening history is stored server-side.<p>Backstory<p>This started as a Python CLI. I was in a competition with my (now) wife to create an ultimate playlist for a random year (I had 1962). I had issues using the Spotify client to get enough year-based
content, so I wrote a CLI to fetch a random set of tracks for a year (Spotify API). Random year-based discovery turned out to be surprisingly fun (and often hilarious), so I kept adding features...Then I wanted to use it from anywhere, so I built a quick static react web app (literally a single page form) and hosted
it via a S3 bucket... many years later it grew into Unheard.FM.<p>The Stack<p>React frontend + serverless backend (AWS + FastAPI). Most discovery logic runs client-side; the backend mainly mediates Spotify auth and serves lightweight discovery APIs.<p>What&#x27;s Next?<p>This project still has a long way to go!... but a few things on my roadmap include:<p>* Regional Filtering (by far the biggest user ask thus far, but also the most difficult to execute on)<p>* More UX improvements (additional filters, better nav, optimized desktop view)<p>* Multiple &quot;discovery models&quot; &#x2F; sharing<p>* Support of other music platforms (Apple Music, YouTube)<p>* Exploring a potential paid tier to help fund development and cover costs, which might include: Multi config, advanced filters, bigger playlists &#x2F; feeds.<p>Hope y&#x27;all have some fun with it. Any and all feedback is much appreciated!",,perrym137,2025-09-11T19:04:49Z,https://news.ycombinator.com/item?id=45215012,2026-06-20T10:18:51.860414+00:00,"{'source': 'hackernews', 'points': 2}"
